,ID Artista,Nombre Artista,id
0,1FCItwxfRieMGhR0eRxotU,Rich Vagos,0RKglZdTQ7BLrs6vplb2qm
1,0zfvfy9XlborSqXNRhi8Bk,Samantha Barrón,0RKglZdTQ7BLrs6vplb2qm
2,1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,0RKglZdTQ7BLrs6vplb2qm
3,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,1cVlW9WQiGlFdWUXFdFZGh
4,0XwVARXT135rw8lyw1EeWP,Christian Nodal,1cVlW9WQiGlFdWUXFdFZGh
5,4wAnP6TlcSkM1KVwkmSEfb,Ernesto Tapia,3Fc7UXQiievrLVVxmqCYFa
6,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy
7,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,4B4zDmbHdkXZ1wUJv1yKFy
8,3C6Jn2YYPlZoe7pBPQl845,Raúl Ornelas,53wqj8xuyBZIpk8Ubp9gFp
9,6genEcweKnEZ92TZvdeLFl,Edgar Oceransky,53wqj8xuyBZIpk8Ubp9gFp
10,6IdtcAwaNVAggwd6sCKgTI,Zoé,6m7iROft03ArIACgwVjL72
11,4dpARuHxo51G3z768sgnrY,Adele,0ENSn4fwAbCGeFGVUbXEU3
