,Unnamed: 0,ID Artista,Nombre Artista,id,Usuario
0,0,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,1lO8VQK74G6Bvvf05BH4o5,Ricardo
1,1,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,3BqDKQg8onwppXlPw4SYnZ,Ricardo
2,2,49z6oAiD2RpyUf5yLJs7Nf,Baaba Maal,3BqDKQg8onwppXlPw4SYnZ,Ricardo
3,3,3qAPxVwIQRBuz5ImPUxpZT,Heroes Del Silencio,4vkSJSyPddHwL7v3l1cuRf,Ricardo
4,4,0J7U24vlOOIeMpuaO6Q85A,LP,2LIh4uzqq9cXMPzzmcToHl,Ricardo
5,5,7fFzUTQmuK6dcxov1opn5Q,La Castañeda,53gDb3nG9sMytzVzD6UCMb,Ricardo
6,6,49qiE8dj4JuNdpYGRPdKbF,Stone Sour,5NeIONQWJ25uPylJBJiO4c,Ricardo
7,7,711MCceyCBcFnzjGY4Q7Un,AC/DC,3EQjW604d5Cfbn8FnZmqyF,Ricardo
8,0,1FCItwxfRieMGhR0eRxotU,Rich Vagos,0RKglZdTQ7BLrs6vplb2qm,Brenda
9,1,0zfvfy9XlborSqXNRhi8Bk,Samantha Barrón,0RKglZdTQ7BLrs6vplb2qm,Brenda
10,2,1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,0RKglZdTQ7BLrs6vplb2qm,Brenda
11,3,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,1cVlW9WQiGlFdWUXFdFZGh,Brenda
12,4,0XwVARXT135rw8lyw1EeWP,Christian Nodal,1cVlW9WQiGlFdWUXFdFZGh,Brenda
13,5,4wAnP6TlcSkM1KVwkmSEfb,Ernesto Tapia,3Fc7UXQiievrLVVxmqCYFa,Brenda
14,6,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy,Brenda
15,7,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,4B4zDmbHdkXZ1wUJv1yKFy,Brenda
16,8,3C6Jn2YYPlZoe7pBPQl845,Raúl Ornelas,53wqj8xuyBZIpk8Ubp9gFp,Brenda
17,9,6genEcweKnEZ92TZvdeLFl,Edgar Oceransky,53wqj8xuyBZIpk8Ubp9gFp,Brenda
18,10,6IdtcAwaNVAggwd6sCKgTI,Zoé,6m7iROft03ArIACgwVjL72,Brenda
19,11,4dpARuHxo51G3z768sgnrY,Adele,0ENSn4fwAbCGeFGVUbXEU3,Brenda
